experiment_name,halogen,n_layers,layer_number,octahedra_count,zeta_mean,zeta_std,zeta_min,zeta_max,zeta_count,delta_mean,delta_std,delta_min,delta_max,delta_count,sigma_mean,sigma_std,sigma_min,sigma_max,sigma_count,theta_mean_mean,theta_mean_std,theta_mean_min,theta_mean_max,theta_mean_count,theta_min_mean,theta_min_std,theta_min_min,theta_min_max,theta_min_count,theta_max_mean,theta_max_std,theta_max_min,theta_max_max,theta_max_count,mean_bond_distance_mean,mean_bond_distance_std,mean_bond_distance_min,mean_bond_distance_max,mean_bond_distance_count,bond_distance_variance_mean,bond_distance_variance_std,bond_distance_variance_min,bond_distance_variance_max,bond_distance_variance_count,octahedral_volume_mean,octahedral_volume_std,octahedral_volume_min,octahedral_volume_max,octahedral_volume_count
MAPbCl3_n3_CC(C)(C[NH3+])C(C)(C)C[NH3+],Cl,3,2,2,0.2740914461213648,0.0461030150181887,0.22798843110317613,0.3201944611395535,2,0.0004584408811504529,0.00012011581276014856,0.0003383250683903043,0.0005785566939106014,2,62.45304446892892,4.898903564280246,57.554140904648676,67.35194803320917,2,201.80853253342002,15.500348022873752,186.30818451054625,217.30888055629376,2,158.01437638813817,22.149170853052937,135.86520553508524,180.1635472411911,2,245.60268867870184,8.851525192694538,236.7511634860073,254.45421387139638,2,2.884980129251886,0.002058740391348124,2.882921388860538,2.8870388696432343,2,0.0038170828218270425,0.0010051834235952812,0.002811899398231761,0.0048222662454223235,2,31.35,0.02000000000000135,31.33,31.37,2
MAPbCl3_n3_CC(C)(C[NH3+])C(C)(C)C[NH3+],Cl,3,3,2,0.67731284121857,0.047712881015016695,0.6295999602035534,0.7250257222335867,2,0.002382643481369654,0.000188384212576183,0.002194259268793471,0.002571027693945837,2,77.73594200698349,10.214314472625723,67.52162753435778,87.95025647960922,2,241.3390772224293,13.741534362332189,227.5975428600971,255.08061158476147,2,170.75360199115212,5.965422722444117,164.788179268708,176.71902471359624,2,311.92455245370644,33.44849144710855,278.4760610065979,345.373043900815,2,2.901439544646127,0.0033104240504013838,2.898129120595726,2.9047499686965286,2,0.0200615751316171,0.0016316571286872292,0.01842991800292987,0.02169323226030433,2,31.35,0.34999999999999964,31.0,31.7,2
MAPbBr3_n2_[NH3+]CCCCCCCCC[NH3+],Br,2,1,2,0.5382893868167176,0.01954341358298395,0.5187459732337336,0.5578328003997015,2,0.0016525339100151395,0.00011784733821863672,0.0015346865717965029,0.0017703812482337763,2,49.520688336860474,14.859994615522083,34.66069372133839,64.38068295238256,2,156.56288500837618,48.78264316952311,107.78024183885307,205.3455281778993,2,116.64687115549395,48.36747266718681,68.27939848830714,165.01434382268076,2,196.4788988612584,49.19781367185939,147.281085189399,245.67671253311778,2,3.0084466619361807,0.0010045226066499602,3.0074421393295308,3.0094511845428307,2,0.014957387412882644,0.0010765951596596384,0.013880792253223006,0.016033982572542283,2,35.730000000000004,0.3000000000000007,35.43,36.03,2
MAPbBr3_n2_[NH3+]CCCCCCCCC[NH3+],Br,2,2,2,0.20844979346301673,0.046756279479835294,0.16169351398318144,0.255206072942852,2,0.00024230841721581932,9.889108137364476e-05,0.00014341733584217456,0.0003411994985894641,2,76.6810611032502,0.841030992726246,75.84003011052395,77.52209209597645,2,261.2018398244935,7.25080755037456,253.95103227411897,268.4526473748681,2,207.8896228146538,7.032424149946934,200.85719866470686,214.92204696460072,2,314.51405683433325,21.534039250696054,292.98001758363716,336.0480960850293,2,3.0067903574034505,0.0026969976065391865,3.0040933597969115,3.00948735500999,2,0.0021922647307181676,0.0008979839525555844,0.0012942807781625833,0.003090248683273752,2,35.295,0.10500000000000043,35.19,35.4,2
MAPbCl3_n1_[NH3+]CCCCCCCCCC[NH3+],Cl,1,1,2,0.31992114379601344,0.003131775599733766,0.3167893681962797,0.3230529193957472,2,0.0004669928449922959,1.4565926646904032e-06,0.0004655362523276055,0.0004684494376569863,2,117.89445038583419,0.956375085351354,116.93807530048284,118.85082547118554,2,350.4694412451656,4.589219570445323,345.8802216747203,355.05866081561095,2,198.54037046192553,4.409212818053973,194.13115764387157,202.94958327997952,2,502.3985120284058,4.769226322836744,497.62928570556903,507.1677383512425,2,2.85717625368931,9.23006545265892e-05,2.8570839530347834,2.8572685543438365,2,0.0038122748456735998,1.1644520356464187e-05,0.003800630325317136,0.003823919366030064,2,28.61,0.030000000000001137,28.58,28.64,2
MAPbBr3_n2_[NH3+]CC1CCC(C[NH3+])CC1,Br,2,1,2,0.2974017768784669,0.05757766863451752,0.2398241082439494,0.35497944551298444,2,0.0004829932927667833,0.0001544682896829363,0.000328525003083847,0.0006374615824497196,2,62.23442638768718,6.960379326837284,55.274047060849895,69.19480571452446,2,227.06134933165197,18.913152259551964,208.1481970721,245.97450159120393,2,189.17302511173764,17.23085462808973,171.9421704836479,206.40387973982737,2,264.9496735515663,20.595449891014184,244.35422366055215,285.5451234425805,2,3.0112576357122016,0.00041343840018148725,3.01084419731202,3.011671074112383,2,0.004380009721185814,0.0014018705202705336,0.00297813920091528,0.005781880241456348,2,35.665,0.11500000000000199,35.55,35.78,2
MAPbBr3_n2_[NH3+]CC1CCC(C[NH3+])CC1,Br,2,2,2,0.30994252539628087,0.1084445195140693,0.20149800588221156,0.41838704491035017,2,0.000449170473961695,0.0002601964189167567,0.00018897405504493826,0.0007093668928784517,2,39.81228121360893,2.8056256427090602,37.006655570899866,42.61790685631799,2,119.65909941372482,2.008728232343138,117.65037118138169,121.66782764606796,2,89.56267879622018,1.799661187521842,87.76301760869835,91.36233998374203,2,149.75552003122945,2.217795277164413,147.53772475406504,151.97331530839386,2,3.0201008256046453,0.0013913393343949476,3.0187094862702506,3.0214921649390405,2,0.004099075486561474,0.0023770291968274898,0.0017220462897339845,0.006476104683388964,2,36.435,0.09499999999999886,36.34,36.53,2
MAPbBr3_n3_[NH3+]CCCCCCCCCC[NH3+],Br,3,1,2,0.27525962106041235,0.0036568010571731424,0.2716028200032392,0.2789164221175855,2,0.00042594077693192676,2.972527434302817e-05,0.00039621550258889856,0.0004556660512749549,2,47.095448687979506,1.2224714927089124,45.87297719527059,48.31792018068842,2,138.89301545539314,1.1451310942295976,137.74788436116353,140.03814654962272,2,106.8267208032288,6.219407664672822,100.60731313855598,113.04612846790162,2,170.95931010755746,3.9291454762136198,167.03016463134384,174.88845558377108,2,3.0059218141797093,0.0010269954601900277,3.0048948187195195,3.0069488096398995,2,0.003848799959161988,0.0002712145244812875,0.0035775854346807006,0.004120014483643276,2,35.82,0.00999999999999801,35.81,35.83,2
MAPbBr3_n3_[NH3+]CCCCCCCCCC[NH3+],Br,3,2,2,0.3462698668328137,0.05916588634055642,0.28710398049225727,0.4054357531733701,2,0.0007578090544677096,0.00026202306749877475,0.0004957859869689347,0.0010198321219664843,2,54.49785028033731,8.761357995488034,45.73649228484928,63.259208275825344,2,179.8378300891914,48.37985404073032,131.4579760484611,228.21768412992174,2,148.92730325464413,32.30895462566569,116.61834862897845,181.23625788030984,2,210.7483569237387,64.45075345579492,146.2976034679438,275.19911037953364,2,2.99631341661325,0.00496708872160756,2.9913463278916423,3.0012805053348575,2,0.0068113474833575785,0.0023749786893903237,0.004436368793967255,0.009186326172747903,2,35.349999999999994,0.019999999999999574,35.33,35.37,2
MAPbBr3_n3_[NH3+]CCCCCCCCCC[NH3+],Br,3,3,2,0.14708792886039102,0.02508437328537405,0.12200355557501696,0.17217230214576507,2,0.00010295531367479898,3.752734916625877e-05,6.542796450854021e-05,0.00014048266284105775,2,56.28606808429927,7.169516938395262,49.11655114590401,63.455585022694535,2,166.8984240702717,3.154881604317424,163.74354246595428,170.05330567458913,2,131.4277920179318,1.4292928459174732,129.99849917201433,132.85708486384928,2,202.3690561226116,4.8804703627173325,197.48858575989425,207.24952648532891,2,3.0163754906661975,0.0015222821570479717,3.0148532085091495,3.0178977728232455,2,0.0009363966982247245,0.00034049797001982574,0.0005958987282048987,0.0012768946682445502,2,36.085,0.015000000000000568,36.07,36.1,2
MAPbI3_n1_[NH3+]CC1=CC=C(C[NH3+])C=C1,I,1,1,2,0.1882920248918447,0.0009202011303348634,0.18737182376150985,0.18921222602217957,2,0.00010927431139740088,1.049245452000694e-06,0.00010822506594540018,0.00011032355684940157,2,11.096229708523985,0.16517311542354918,10.931056593100436,11.261402823947535,2,43.52800117694671,1.0408916905051981,42.48710948644151,44.56889286745191,2,37.27907350981585,0.979210796895174,36.29986271292068,38.258284306711026,2,49.77692884407757,1.1025725841152152,48.67435625996235,50.87950142819278,2,3.1844462390602244,0.000342408490556112,3.1841038305696685,3.1847886475507807,2,0.0011081200755565946,1.0878382581523292e-05,0.0010972416929750713,0.001118998458138118,2,43.010000000000005,0.010000000000001563,43.0,43.02,2
MAPbBr3_n2_[NH3+]CCC[NH3+],Br,2,1,2,0.32475308311220985,0.0010038728052776946,0.32374921030693216,0.32575695591748755,2,0.0006579865702419347,2.9677159514207487e-06,0.0006550188542905139,0.0006609542861933554,2,48.58368137950464,0.2902559049379789,48.29342547456666,48.87393728444262,2,167.4065983794033,0.6510095826126872,166.75558879679062,168.057607962016,2,143.99810547204353,0.9044608655670174,143.09364460647652,144.90256633761055,2,190.81509128676308,0.3975582996583853,190.4175329871047,191.21264958642146,2,2.9979819407322186,1.3482227165573235e-05,2.9979684585050532,2.9979954229593844,2,0.005913914436704965,2.6620330547895248e-05,0.00588729410615707,0.00594053476725286,2,35.555,0.005000000000002558,35.55,35.56,2
MAPbBr3_n2_[NH3+]CCC[NH3+],Br,2,2,2,0.21536562703436868,0.0013860757137598156,0.21397955132060886,0.2167517027481285,2,0.00020723755514737065,2.956772851240813e-06,0.00020428078229612986,0.00021019432799861148,2,57.36050709174953,0.16761037350065777,57.192896718248875,57.52811746525019,2,186.38250789635902,0.7302500803761802,185.65225781598284,187.1127579767352,2,151.31276077958006,0.5533399779281041,150.75942080165197,151.86610075750818,2,221.452255013138,0.9071601828242422,220.54509483031376,222.35941519596224,2,2.9990061498903753,6.21470593595852e-05,2.9989440028310157,2.999068296949735,2,0.0018639035255849257,2.6670576686820165e-05,0.0018372329488981055,0.0018905741022717459,2,35.41,0.0,35.41,35.41,2
MAPbBr3_n1_[NH3+]CCCCCCC[NH3+],Br,1,1,2,0.3777975524235744,0.002728537177100643,0.37506901524647374,0.380526089600675,2,0.0005568118566944935,1.0134093556836345e-05,0.0005466777631376571,0.0005669459502513298,2,54.406454741007444,0.7965944652742891,53.609860275733155,55.20304920628173,2,169.34330549480353,3.7089802658019124,165.63432522900163,173.05228576060546,2,152.46362645416957,2.2563758909306415,150.20725056323892,154.7200023451002,2,186.22298453543755,5.1615846406731976,181.06139989476435,191.38456917611074,2,2.98550319970367,0.0006362965390562803,2.9848669031646136,2.986139496242726,2,0.004963030514757964,9.24430166695544e-05,0.004870587498088409,0.005055473531427518,2,35.1,0.00999999999999801,35.09,35.11,2
MAPbI3_n2_CC(C)(CCC[NH3+])C(C)(C)CCC[NH3,I,2,1,2,0.13002372579686639,0.008059250811484064,0.12196447498538232,0.13808297660835045,2,6.233493993023379e-05,5.726158979246121e-06,5.660878095098767e-05,6.806109890947992e-05,2,27.629017757274283,0.2963789034568549,27.33263885381743,27.92539666073114,2,70.86347546034614,1.9542108293923022,68.90926463095383,72.81768628973843,2,62.31978866369678,3.153478225304987,59.16631043839179,65.47326688900176,2,79.40716225699548,0.7549434334796246,78.65221882351585,80.1621056904751,2,3.2137640557273333,0.000716358764595082,3.213047696962738,3.2144804144919283,2,0.0006438390739555056,5.9428388799503864e-05,0.0005844106851560016,0.0007032674627550094,2,44.08,0.03999999999999915,44.04,44.12,2
