ID,Abbreviation,Alternative_abbreviations,Molecular_formula,SMILE,Common_name,IUPAC_name,CAS,Parent_IUPAC,Parent_SMILE,Parent_CAS,Common_source_compound,Source_compound_CAS,Chemical_formula,Number_of_occurances,Source
46,HIA,HA,C5H10N3+,C1=C(NC=N1)CC[NH3+],Histammonium ,2-(1H-imidazol-5-yl)ethylazanium,65592-96-3,2-(1H-imidazol-5-yl)ethanamine,C1=C(NC=N1)CCN,51-45-6,C5H9N3 · 2HCl,56-92-8,C3N2H4CH2CH2NH3,48.0,Perovskite database
47,IM,,C3H5N2+,C1=C[NH+]=CN1,Imidazolium ,1H-imidazol-3-ium,,1H-imidazole,C1=CN=CN1,288-32-4,C3H5IN2,68007-08-9,,18.0,Perovskite database
48,BBA,3BBA,C7H9BrN+,C1=CC(=CC(=C1)Br)C[NH3+],3-bromobenzylammonium  ,(3-bromophenyl)methylazanium,,(3-bromophenyl)methanamine,C1=CC(=CC(=C1)Br)CN,10269-01-9,C7H8BrN,10269-01-9,,1.0,Perovskite database
49,mFPEA,mF1PEA,C8H11FN+,C1=CC(=CC(=C1)F)CC[NH3+],3-fluorophenethylammonium,2-(3-fluorophenyl)ethylazanium,,2-(3-fluorophenyl)ethanamine,C1=CC(=CC(=C1)F)CCN,404-70-6,C8H10FN,404-70-6,,8.0,Perovskite database
50,APA,"BDA, BzDA",C6H10N2+2,C1=CC(=CC=C1[NH3+])[NH3+],"1,4-benzene diammonium",(4-azaniumylphenyl)azanium,,"benzene-1,4-diamine",C1=CC(=CC=C1N)N,106-50-3,C6H10I2N2,116469-02-4,,20.0,Perovskite database
51,PDMA,,C8H14N2+2,C1=CC(=CC=C1C[NH3+])C[NH3+],"1,4-phenylenedimethanammonium",[4-(azaniumylmethyl)phenyl]methylazanium,,[4-(aminomethyl)phenyl]methanamine,C1=CC(=CC=C1CN)CN,539-48-0,C8H12N2,539-48-0,C6H4(CH2NH2)2,32.0,Perovskite database
52,CPEA,Cl-PEA,C8H11ClN+,C1=CC(=CC=C1CC[NH3+])Cl,4-chlorophenylethylamine,2-(4-chlorophenyl)ethylazanium,,2-(4-chlorophenyl)ethanamine,C1=CC(=CC=C1CCN)Cl,156-41-2,C8H10ClN,156-41-2,ClC6H4C2H4NH3,4.0,Perovskite database
53,FPEA,"4FPEA, pF1PEA, pFPEA",C8H11FN+,C1=CC(=CC=C1CC[NH3+])F, 4-fluoro-phenethylammonium ,2-(4-fluorophenyl)ethylazanium,,2-(4-fluorophenyl)ethanamine,C1=CC(=CC=C1CCN)F,1583-88-6,C8H11FIN,1413269-55-2,,12.0,Perovskite database
54,PyrEA,,C6H10N2+2,C1=CC=[N+](C=C1)C[NH3+],Pyridinium ethylammonium,pyridin-1-ium-1-ylmethylazanium,,pyridin-1-ium-1-ylmethanamine;iodide,C1=CC=N(C=C1)CN.[I-],,C6H9IN2,,,9.0,Perovskite database
55,IAN,C6H4NH2,C6H7IN+,C1=CC=C(C(=C1)[NH3+])I,2-iodoaniline,(2-iodophenyl)azanium,,2-iodoaniline,C1=CC=C(C(=C1)N)I,615-43-0,C6H4NH2I,615-43-0,,6.0,Perovskite database
56,oFPEA,oF1PEA,C8H11FN+,C1=CC=C(C(=C1)CC[NH3+])F,2-Fluorophenethylamine,2-(2-fluorophenyl)ethylazanium,,2-(2-fluorophenyl)ethanamine,C1=CC=C(C(=C1)CCN)F,52721-69-4,C8H10FN,52721-69-4,,8.0,Perovskite database
57,AN,"Anyl, PA",C6H8N+,C1=CC=C(C=C1)[NH3+],Anilinium ,phenylazanium,65756-50-5,aniline,C1=CC=C(C=C1)N,62-53-3,C6H8IN,45497-73-2,,12.0,Perovskite database
58,BZA,BE,C7H10N+,C1=CC=C(C=C1)C[NH3+],Benzylamine,benzylazanium,,phenylmethanamine,C1=CC=C(C=C1)CN,100-46-9,C7H9N,100-46-9,C6H5CH2NH2,1.0,Perovskite database
59,PPEA,,C9H12N+,C1=CC=C(C=C1)C=CC[NH3+],3-phenyl-2-propen-1-amine,3-phenylprop-2-enylazanium,,3-phenylprop-2-en-1-amine,C1=CC=C(C=C1)C=CCN,4335-60-8,C9H11N,4335-60-8,,4.0,Perovskite database
60,PEA,,C8H12N+,C1=CC=C(C=C1)CC[NH3+],Phenylethylammonium,2-phenylethylazanium,,2-phenylethanamine,C1=CC=C(C=C1)CCN,64-04-0,C8H12IN,151059-43-7,,268.0,Perovskite database
61,PPA,,C9H14N+,C1=CC=C(C=C1)CCC[NH3+],3-phenylpropylamine,3-phenylpropylazanium,,3-phenylpropan-1-amine,C1=CC=C(C=C1)CCCN,2038-57-5,C9H13N,2038-57-5,,2.0,Perovskite database
62,PBA,,C10H16N+,C1=CC=C(C=C1)CCCC[NH3+], 4-phenylbutan-1-aminium,4-phenylbutylazanium,,4-phenylbutan-1-amine,C1=CC=C(C=C1)CCCCN,13214-66-9,C11H15NI,13214-66-9,,8.0,Perovskite database
63,NMA,,C11H12N+,C1=CC=C2C(=C1)C=CC=C2C[NH3+],1-naphthylmethylammonium,naphthalen-1-ylmethylazanium,,naphthalen-1-ylmethanamine,C1=CC=C2C(=C1)C=CC=C2CN,118-31-0,C11H12IN,256222-11-4,,4.0,Perovskite database
64,BIM,BI,C7H7N2+,C1=CC=C2C(=C1)NC=[NH+]2,Benzimidazolium,1H-benzimidazol-3-ium,,1H-benzimidazole,C1=CC=C2C(=C1)NC=N2,51-17-2,C7H7IN2,,,2.0,Perovskite database
65,ImEA,,C5H11N3+2,C1=CN(C=[NH+]1)CC[NH3+],Imidazolium ethylammonium,2-imidazol-3-ium-1-ylethylazanium,,2-imidazol-1-ylethanamine,C1=CN(C=N1)CCN,1402446,C5H9N3,5739-10-06,,9.0,Perovskite database
66,BiIM,BIM,C6H6N4,C1=CN=C(N1)C2=[NH+]C=CN2,"2,2'-Biimidazole",2-(1H-imidazol-2-yl)-1H-imidazole,,2-(1H-imidazol-2-yl)-1H-imidazole,C1=CN=C(N1)C2=NC=CN2,492-98-8,C6H6N4,492-98-8,,4.0,Perovskite database
67,APY,4ApyH,C5H7N2+,C1=CN=CC=C1[NH3+],4-aminopyridine,pyridin-1-ium-4-amine,,pyridin-4-amine,C1=CN=CC=C1N,504-24-5,C5H6N2,504-24-5,,2.0,Perovskite database
68,ThMA,ThPEA,C5H8NS+,C1=CSC(=C1)C[NH3+],2-thiophenem-ethylammonium ,thiophen-2-ylmethylazanium,,thiophen-2-ylmethanamine,C1=CSC(=C1)CN,27757-85-3,C5H7NS,27757-85-3,,29.0,Perovskite database
69,ThEA,TEA,C6H10NS+,C1=CSC(=C1)CC[NH3+],Thiophene−2−ethylamine,2-thiophen-2-ylethylazanium,,2-thiophen-2-ylethanamine,C1=CSC(=C1)CCN,30433-91-1,C6H9NS,30433-91-1,,2.0,Perovskite database
70,ThA,TA,C3H4NS+,C1=CSC=[NH+]1,Thiazole ammonium,"1,3-thiazol-3-ium",,"1,3-thiazole",C1=CSC=N1,288-47-1,C3H3NS,288-47-1,,3.0,Perovskite database
71,AMP,3AMP,C6H9N2+,C1=CC(=CN=C1)C[NH3+], 3-(aminomethyl)piperidinium,piperidin-3-ylmethazanium,,piperidin-3-ylmethanamine,C1CC(CNC1)CN,23099-21-0,C6H14N2,23099-21-0,C6H14N2,15.0,Perovskite database
72,CPA,CA,C3H8N+,C1CC1[NH3+],Cyclopropylamine,cyclopropylazanium,,cyclopropanamine,C1CC1N,765-30-0,C3H7N,765-30-0,,5.0,Perovskite database
73,CHMA,,C7H16N+,C1CCC(CC1)C[NH3+],Cyclohexylmethylammonium,cyclohexylmethylazanium,,cyclohexylmethanamine,C1CCC(CC1)CN,3218-02-8,C7H15N,3218-02-8,,7.0,Perovskite database
74,PEI,,(C2H5N)n,C1CN1,Polyethylenimine ,Poly(iminoethylene),,Polyethylenimine,C1CN1,9002-98-6,H(NHCH2CH2)nNH2,9002-98-6,H(NHCH2CH2)nNH2,18.0,Perovskite database
75,4AMP,,C6H15N2+,C1CNCCC1C[NH3+],4-(aminomethyl)piperidinium,piperidin-4-ylmethazanium,,piperidin-4-ylmethanamine,C1CNCCC1CN,7144-05-0,C6H14N2,7144-05-0,,2.0,Perovskite database
76,ACE,"Aa, Ace",C2H7N2+,CC(=[NH2+])N,Acetamidinium ,1-aminoethylideneazanium,,ethanimidamide,CC(=N)N,143-37-3,C2H7IN2,1452099-14-7,,9.0,Perovskite database
77,TBA,,C4H12N+,CC(C)(C)[NH3+],Tert-butylammonium,tert-butylazanium,,2-methylpropan-2-amine,CC(C)(C)N,75-64-9,C4H12IN,39557-45-4,,18.0,Perovskite database
78,IPAM,iPA,C3H10N+,CC(C)[NH3+],Isopropylammonium ,propan-2-ylazanium,,propan-2-amine,CC(C)N,75-31-0,C3H9N,75-31-0,,2.0,Perovskite database
79,NEA,,C12H14N+,CC(C1=CC=CC2=CC=CC=C21)[NH3+],1-naphthalene ethylamine,1-naphthalen-1-ylethylazanium,,1-naphthalen-1-ylethanamine,CC(C1=CC=CC2=CC=CC=C21)N,42882-31-5,C12H13N,3886-70-2,,1.0,Perovskite database
80,PN,,C3H11N2+,CC(CN)[NH3+],Propylenediammonium ,1-aminopropan-2-ylazanium,,"propane-1,2-diamine",CC(CN)N,78-90-0,C3H10N2,78-90-0,CH3CH(NH2)CH2NH2,4.0,Perovskite database
81,ETPY,N-EtPy,C7H10N+,CC[N+]1=CC=CC=C1,1-ethylpyridin-1-ium,1-ethylpyridin-1-ium,15302-96-2,1-ethylpyridin-1-ium;iodide,CC[N+]1=CC=CC=C1.[I-],872-90-2,C7H10BrN,1906-79-2,,4.0,Perovskite database
82,EA,,C2H8N+,CC[NH3+],Ethylammonium,ethylazanium,16999-99-8,ethanamine,CCN,75-04-7,C2H8IN,506-58-1,CH3CH2NH3,22.0,Perovskite database
83,EU-pyP,,C44H38N8I4EuO2C2H3,CC=1O[Eu]234(O=1)N=1C=5C=CC=1C(=C1C=CC(N13)=C(C=1C=CC(N=14)=C(c1ccc(n12)C=5c1cc[n+](C)cc1)c1cc[n+](C)cc1)c1cc[n+](C)cc1)c1cc[n+](C)cc1,Eu-porphyrin complex,meso-Tetrakis(2-N-methylpyridyl)porphine.europiumacetate,,meso-Tetrakis(2-N-methylpyridyl)porphine.europiumacetate,CC=1O[Eu]234(O=1)N=1C=5C=CC=1C(=C1C=CC(N13)=C(C=1C=CC(N=14)=C(c1ccc(n12)C=5c1cc[n+](C)cc1)c1cc[n+](C)cc1)c1cc[n+](C)cc1)c1cc[n+](C)cc1,,,,,1.0,Perovskite database
84,MIC3,,C6H10NS+,CC1=C(SC=[N+]1C)C,"3,4,5-trimethyl thiazolium","3,4,5-trimethyl-1,3-thiazol-3-ium",40265-67-6,"3,4,5-trimethyl-1,3-thiazol-3-ium;iodide",CC1=C(SC=[N+]1C)C.[I-],62993-85-5,C6H10INS,62993-85-5,,2.0,Perovskite database
85,MIC2,,C5H8NS+,CC1=CSC=[N+]1C,"3,4-dimethyl thiazolium","3,4-dimethyl-1,3-thiazol-3-ium",694-30-4,"3,4-dimethyl-1,3-thiazol-3-ium;iodide",CC1=CSC=[N+]1C.[I-],24300-70-7,	C5H8INS,24300-70-7,,2.0,Perovskite database
86,ISOBA,iso-BA,C4H12N+,CCC(C)[NH3+],Butan-2-amine,butan-2-ylazanium,,butan-2-amine,CCC(C)N,13952-84-6,C4H11N,13952-84-6,CH3CH(NH2)C2H5,2.0,Perovskite database
87,PA,n-C3H7NH3,C3H10N+,CCC[NH3+],Propylammonium,propylazanium,,propan-1-amine,CCCN,107-10-8,C3H10IN,14488-45-0,CH3(CH2)2NH3,25.0,Perovskite database
88,BA,,C4H12N+,CCCC[NH3+],Butylamine ,butylazanium,,butan-1-amine,CCCCN,109-73-9,C4H12IN,36945-08-1,CH3(CH2)3NH3+,372.0,Perovskite database
89,HTAB,,C9H22N+,CCCCCC[N+](C)(C)C,n-hexyl trimethyl ammonium,hexyl(trimethyl)azanium,16208-27-8,hexyl(trimethyl)azanium;iodide,CCCCCC[N+](C)(C)C.[I-],15066-77-0,C9H22IN,15066-77-0,,5.0,Perovskite database
90,HA,C6H13NH3,C6H16N+,CCCCCC[NH3+],Hexylamine,hexylazanium,,hexan-1-amine,CCCCCCN,111-26-2,C6H15N,111-26-2, (CH3(CH2)4CH2NH2,5.0,Perovskite database
91,OA,,C8H20N+,CCCCCCCC[NH3+],Octylamine ,octylazanium,,octan-1-amine,CCCCCCCCN,111-86-4,C8H20IN,60734-63-6,CH3(CH2)7NH3+,4.0,Perovskite database
92,DA,,C12H28N+,CCCCCCCCCCCC[NH3+],Dodecylamine ,dodecylazanium,,dodecan-1-amine,CCCCCCCCCCCCN,124-22-1,C12H28NI,34099-97-3,CH3(CH2)11NH3+,2.0,Perovskite database
93,MTEA,,C3H10NS+,CSCC[NH3+],2-(methylthio)ethylammonium ,2-methylsulfanylethylazanium,,2-methylsulfanylethanamine,CSCCN,18542-42-2,C3H10ClNS,6950-53-4,,2.0,Perovskite database
