Index,perovskite_ion_type,abbreviation,alternative_abbreviations,molecular_formula,smile,common_name,iupac_name,cas_number,source_compound_iupac_name,source_compound_smile,source_compound_cas_number,number_of_occurances_in_the_perovskite_database,source
79,A,NEA,,C12H14N+,CC(C1=CC=CC2=CC=CC=C21)[NH3+],1-naphthalene ethylamine,1-naphthalen-1-ylethylazanium,,1-naphthalen-1-ylethanamine,CC(C1=CC=CC2=CC=CC=C21)N,42882-31-5,1.0,Perovskite database
80,A,PN,,C3H11N2+,CC(CN)[NH3+],Propylenediammonium ,1-aminopropan-2-ylazanium,,"propane-1,2-diamine",CC(CN)N,78-90-0,4.0,Perovskite database
81,A,ETPY,N-EtPy,C7H10N+,CC[N+]1=CC=CC=C1,1-ethylpyridin-1-ium,1-ethylpyridin-1-ium,15302-96-2,1-ethylpyridin-1-ium;iodide,CC[N+]1=CC=CC=C1.[I-],872-90-2,4.0,Perovskite database
82,A,EA,,C2H8N+,CC[NH3+],Ethylammonium,ethylazanium,16999-99-8,ethanamine,CCN,75-04-7,22.0,Perovskite database
83,A,EU-pyP,,C44H38N8I4EuO2C2H3,CC=1O[Eu]234(O=1)N=1C=5C=CC=1C(=C1C=CC(N13)=C(C=1C=CC(N=14)=C(c1ccc(n12)C=5c1cc[n+](C)cc1)c1cc[n+](C)cc1)c1cc[n+](C)cc1)c1cc[n+](C)cc1,Eu-porphyrin complex,meso-Tetrakis(2-N-methylpyridyl)porphine.europiumacetate,,meso-Tetrakis(2-N-methylpyridyl)porphine.europiumacetate,CC=1O[Eu]234(O=1)N=1C=5C=CC=1C(=C1C=CC(N13)=C(C=1C=CC(N=14)=C(c1ccc(n12)C=5c1cc[n+](C)cc1)c1cc[n+](C)cc1)c1cc[n+](C)cc1)c1cc[n+](C)cc1,,1.0,Perovskite database
84,A,MIC3,,C6H10NS+,CC1=C(SC=[N+]1C)C,"3,4,5-trimethyl thiazolium","3,4,5-trimethyl-1,3-thiazol-3-ium",40265-67-6,"3,4,5-trimethyl-1,3-thiazol-3-ium;iodide",CC1=C(SC=[N+]1C)C.[I-],62993-85-5,2.0,Perovskite database
85,A,MIC2,,C5H8NS+,CC1=CSC=[N+]1C,"3,4-dimethyl thiazolium","3,4-dimethyl-1,3-thiazol-3-ium",694-30-4,"3,4-dimethyl-1,3-thiazol-3-ium;iodide",CC1=CSC=[N+]1C.[I-],24300-70-7,2.0,Perovskite database
86,A,ISOBA,iso-BA,C4H12N+,CCC(C)[NH3+],Butan-2-amine,butan-2-ylazanium,,butan-2-amine,CCC(C)N,13952-84-6,2.0,Perovskite database
87,A,PA,n-C3H7NH3,C3H10N+,CCC[NH3+],Propylammonium,propylazanium,,propan-1-amine,CCCN,107-10-8,25.0,Perovskite database
88,A,BA,,C4H12N+,CCCC[NH3+],Butylamine ,butylazanium,,butan-1-amine,CCCCN,109-73-9,372.0,Perovskite database
89,A,HTAB,,C9H22N+,CCCCCC[N+](C)(C)C,n-hexyl trimethyl ammonium,hexyl(trimethyl)azanium,16208-27-8,hexyl(trimethyl)azanium;iodide,CCCCCC[N+](C)(C)C.[I-],15066-77-0,5.0,Perovskite database
90,A,HA,C6H13NH3,C6H16N+,CCCCCC[NH3+],Hexylamine,hexylazanium,,hexan-1-amine,CCCCCCN,111-26-2,5.0,Perovskite database
91,A,OA,,C8H20N+,CCCCCCCC[NH3+],Octylamine ,octylazanium,,octan-1-amine,CCCCCCCCN,111-86-4,4.0,Perovskite database
92,A,DA,,C12H28N+,CCCCCCCCCCCC[NH3+],Dodecylamine ,dodecylazanium,,dodecan-1-amine,CCCCCCCCCCCCN,124-22-1,2.0,Perovskite database
93,A,MTEA,,C3H10NS+,CSCC[NH3+],2-(methylthio)ethylammonium ,2-methylsulfanylethylazanium,,2-methylsulfanylethanamine,CSCCN,18542-42-2,2.0,Perovskite database
94,A,A43,,C7H9F9NO+,FC(F)(F)C(OCCC[NH3+])(C(F)(F)F)C(F)(F)F,"3-{[1,1,1,3,3,3-hexafluoro-2-(trifluoromethyl)propan-2-yl]oxy}propan-1-aminium","3-{[1,1,1,3,3,3-hexafluoro-2-(trifluoromethyl)propan-2-yl]oxy}propan-1-aminium",,"3-[1,1,1,3,3,3-hexafluoro-2-(trifluoromethyl)propan-2-yl]oxypropan-1-amine",FC(F)(F)C(OCCCN)(C(F)(F)F)C(F)(F)F,,2.0,Perovskite database
95,A,4FBzA,4-FBzA,C7H9FN+,C1=CC(=CC=C1C[NH3+])F,4-fluorophenylmethylammonium,(4-fluorophenyl)methylazanium,,(4-fluorophenyl)methanamine,C1=CC(=CC=C1CN)F,140-75-0,,2D database
96,A,4BrBzA,4-BrBzA,C7H9BrN+,C1=CC(=CC=C1C[NH3+])Br,4-bromophenylmethylammonium,(4-bromophenyl)methylazanium,,(4-bromophenyl)methanamine,C1=CC(=CC=C1CN)Br,3959-07-7,,2D database
97,A,4ClBzA,4-ClBzA,C7H9ClN+,C1=CC(=CC=C1C[NH3+])Cl,4-chlorophenylmethylammonium,(4-chlorophenyl)methylazanium,,(4-chlorophenyl)methanamine,C1=CC(=CC=C1CN)Cl,104-86-9,,2D database
