Experiment,Perovskite,Halogen,N_Slab,Molecule,Eslab,TotalAtoms,A,B,C,Alpha,Beta,Gamma,Emol,NCarbonsMol,NNitrogensMol,NHydrogensMol,FamilyMol,ParityMol,NormEnergy,MolAtoms,NormEmol
MAPbCl3_n2_[NH3+]CCCCC[NH3+],MAPbCl3,Cl,2,[NH3+]CCCCC[NH3+],-401.79203540000003,80.0,7.91477845933077,7.527986049990836,17.198241504770774,86.48766964799711,80.92661010710269,89.56130184480764,-119.9004908,5,2,16,lineal,odd,-2.0248881725000003,23,-5.213064817391304
MAPbCl3_n3_[NH3+]CCCC[NH3+],MAPbCl3,Cl,3,[NH3+]CCCC[NH3+],-442.4665265600001,98.0,7.6772694138821445,7.992296411527214,22.09327862218775,90.79271825948577,89.07211187514373,90.36644989458733,-102.71394975,4,2,14,lineal,even,-2.418761500612246,20,-5.1356974875
MAPbCl3_n1_[NH3+]CCCCCCCC[NH3+],MAPbCl3,Cl,1,[NH3+]CCCCCCCC[NH3+],-429.68394014000006,74.0,7.879273967059523,7.657451798864326,14.240007430502136,86.33178921430817,66.66783145235223,88.33745953878976,-171.34456379,8,2,22,lineal,even,-1.1756055751351362,32,-5.3545176184375
MAPbCl3_n2_[NH3+]CCCCCC[NH3+],MAPbCl3,Cl,2,[NH3+]CCCCCC[NH3+],-435.88804507,86.0,7.604268502449918,7.874000992305827,18.27915990633407,77.13255586663273,89.29667904569163,89.31491179109136,-137.11831366,6,2,18,lineal,even,-1.8796676482558135,26,-5.273781294615385
MAPbCl3_n1_[NH3+]CCCC1CCC(CCC[NH3+])CC1,MAPbCl3,Cl,1,[NH3+]CCCC1CCC(CCC[NH3+])CC1,-551.35902388,94.0,7.59496321110817,7.761722267443126,15.903711351699979,99.20253554340856,84.31774772118042,89.37469072820603,-232.03610252,12,2,28,cyclic,even,-0.9285831791489364,42,-5.524669107619047
MAPbCl3_n1_[NH3+]CC1=CC=C(C[NH3+])C=C1,MAPbCl3,Cl,1,[NH3+]CC1=CC=C(C[NH3+])C=C1,-368.02885507,58.0,7.710431839573728,7.553999023649989,12.394054916539709,94.7243300803562,91.38665652119799,89.5872821029654,-144.91357426,8,2,14,benzene,even,-1.3483052853448283,24,-6.0380655941666665
MAPbCl3_n3_[NH3+]CC1=CC=C(C[NH3+])C=C1,MAPbCl3,Cl,3,[NH3+]CC1=CC=C(C[NH3+])C=C1,-518.0350004700001,106.0,7.802415544979232,7.786065480221251,23.12686273012942,90.53620214767906,91.61750735649913,89.36577587119756,-144.91357426,8,2,14,benzene,even,-2.1529042636792464,24,-6.0380655941666665
MAPbCl3_n3_[NH3+]CCC[NH3+],MAPbCl3,Cl,3,[NH3+]CCC[NH3+],-408.09553834,92.0,7.799765373798531,7.814068790743524,20.985139598715918,88.87817383710254,91.44048142118852,89.9476556756442,-85.54443369,3,2,12,lineal,odd,-2.576159466956522,17,-5.032025511176471
MAPbCl3_n3_CC(C)(CC[NH3+])CC[NH3+],MAPbCl3,Cl,3,CC(C)(CC[NH3+])CC[NH3+],-545.50447973,116.0,7.863084446171455,7.940357005439857,23.418836149866824,89.32735032740611,90.8328877955719,90.5570963258083,-154.18603206,7,2,20,branch,odd,-2.044244962155172,29,-5.316759726206897
MAPbCl3_n2_CC(C)(C[NH3+])C(C)(C)C[NH3+],MAPbCl3,Cl,2,CC(C)(C[NH3+])C(C)(C)C[NH3+],-503.2052990899999,98.0,8.275518104580192,8.576638775402985,15.751256026938911,92.54019777148424,88.96334899484354,93.93923204412725,-171.16718275,8,2,22,branch,even,-1.6415401386734687,32,-5.3489744609375
MAPbCl3_n2_[NH3+]CCC1CCC(CC[NH3+])CC1,MAPbCl3,Cl,2,[NH3+]CCC1CCC(CC[NH3+])CC1,-557.78196996,106.0,7.775625986619939,7.769319767392567,18.82972831105579,93.07848471814852,86.6836223812255,89.871516705388,-197.7105717,10,2,24,cyclic,even,-1.531705910943396,36,-5.491960325
MAPbCl3_n2_CC(C)(CC[NH3+])C(C)(C)CC[NH3+],MAPbCl3,Cl,2,CC(C)(CC[NH3+])C(C)(C)CC[NH3+],-572.64650666,110.0,8.330263105762196,7.776036264299111,18.508710861194615,88.43072877273615,90.73390812947376,91.50840215024596,-205.40703172,10,2,26,branch,even,-1.4712040292727273,38,-5.405448203157895
